Italy,2/27/2020,0.53347,0.51862,0.49721,0.48492,0.47936,0.47575,0.47517,0.47711,0.48315,0.49192,0.50592,0.50369,0.53707,0.55352,0.56894,0.585,0.60122,0.6183,0.63617,0.65344,0.67035,0.68729,0.70386,0.71908,0.7351,0.74988,0.76365,0.77622,0.78728,0.79733
Jamaica,5/10/2020,0.60292,0.56396,0.51888,0.48778,0.46375,0.42516,0.39807,0.37781,0.36785,0.36228,0.3658,0.32788,0.3971,0.41748,0.43865,0.46345,0.48364,0.52774,0.53103,0.54752,0.56597,0.58967,0.56265,0.57007,0.52183,0.45895,0.41039,0.38719,0.34014,0.27668
Japan,3/9/2020,0.53046,0.50499,0.48186,0.46225,0.44133,0.40705,0.38261,0.36645,0.32178,0.28425,0.24683,0.16557,0.16989,0.13321,0.1104,0.081464,0.058569,0.04322,0.035597,0.03367,0.043454,0.062465,0.075245,0.092981,0.11507,0.1397,0.16652,0.20039,0.23389,0.26831
Jordan,5/8/2020,0.58863,0.58049,0.56633,0.5558,0.54632,0.54613,0.5461,0.55728,0.57252,0.59399,0.61974,0.58945,0.70184,0.72663,0.73961,0.74797,0.74235,0.7235,0.71048,0.68139,0.64254,0.61302,0.57213,0.55011,0.51389,0.49682,0.47484,0.46107,0.45828,0.46309
Kazakhstan,4/4/2020,0.5929,0.56965,0.53446,0.51463,0.49615,0.4807,0.46784,0.46616,0.46649,0.47078,0.47418,0.45216,0.49449,0.5048,0.50775,0.52271,0.53131,0.53921,0.54683,0.55814,0.5647,0.57569,0.58401,0.59562,0.60884,0.61718,0.6285,0.64392,0.65347,0.6593
Kenya,5/5/2020,0.60826,0.57833,0.54706,0.52539,0.50439,0.48474,0.45802,0.44322,0.42159,0.40558,0.39708,0.35094,0.39438,0.38921,0.38514,0.38046,0.37912,0.38018,0.38435,0.38913,0.40261,0.41511,0.4315,0.44585,0.46094,0.47328,0.48659,0.49825,0.50714,0.51292
Kuwait,4/5/2020,0.6447,0.64036,0.6313,0.6187,0.61324,0.60517,0.59732,0.59677,0.59274,0.59247,0.58504,0.55203,0.58012,0.57558,0.56756,0.56247,0.55286,0.54862,0.54648,0.53583,0.53482,0.51884,0.51889,0.50674,0.50168,0.49355,0.48726,0.48235,0.47906,0.48003
Kyrgyzstan,4/18/2020,0.59863,0.57349,0.54979,0.54009,0.5176,0.50163,0.49063,0.47167,0.43705,0.43147,0.41039,0.33462,0.3907,0.35858,0.35076,0.33673,0.30957,0.31904,0.31066,0.31326,0.31524,0.32462,0.32369,0.32519,0.32269,0.31784,0.3102,0.30507,0.2946,0.2995
Laos,4/27/2021,0.63231,0.62293,0.61733,0.62172,0.61931,0.62938,0.6365,0.64705,0.65858,0.67371,0.6867,0.64778,0.72597,0.72893,0.73201,0.74026,0.75164,0.75359,0.7681,0.77862,0.79772,0.79843,0.81287,0.83039,0.83467,0.84909,0.86403,0.87644,0.87426,0.90111
Latvia,4/4/2020,0.56636,0.56048,0.55046,0.54404,0.53758,0.53328,0.53836,0.53483,0.54175,0.54679,0.54545,0.49278,0.57176,0.56307,0.56821,0.57792,0.57025,0.58708,0.59159,0.59932,0.59463,0.61021,0.61934,0.62728,0.6347,0.65446,0.64345,0.6453,0.62947,0.63237
